frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"165","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"166","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"167","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"168","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"169","Apr 24, 2024 14:01:16.850571000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"170","Apr 24, 2024 14:01:16.850571000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"171","Apr 24, 2024 14:01:16.850571000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"172","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"173","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"174","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"175","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"176","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"177","Apr 24, 2024 14:01:16.850672000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"178","Apr 24, 2024 14:01:16.850672000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"179","Apr 24, 2024 14:01:16.850672000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"180","Apr 24, 2024 14:01:16.850734000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"181","Apr 24, 2024 14:01:16.850896000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
